21029|0|||||||||||||||||||||||||||||||||
21029|1|CAbilEffect||||||||||||||||||||||||||||||||
21029|2|CAbilQueueable||||||||||||||||||||||||||||||||
21029|3|CAbilProgress||||||||||||||||||||||||||||||||
21029|4|CAbilRedirect||||||||||||||||||||||||||||||||
21029|5|CAbilArmMagazine||||||||||||||||||||||||||||||||
21029|6|CAbilAttack||||||||||||||||||||||||||||||||
21029|7|CAbilAugment||||||||||||||||||||||||||||||||
21029|8|CAbilBattery||||||||||||||||||||||||||||||||
21029|9|CAbilBeacon||||||||||||||||||||||||||||||||
21029|10|CAbilBehavior||||||||||||||||||||||||||||||||
21029|11|CAbilBuild||||||||||||||||||||||||||||||||
21029|12|CAbilBuildable||||||||||||||||||||||||||||||||
21029|13|CAbilEffectInstant||||||||||||||||||||||||||||||||
21029|14|CAbilEffectTarget||||||||||||||||||||||||||||||||
21029|15|CAbilHarvest||||||||||||||||||||||||||||||||
21029|16|CAbilInteract||||||||||||||||||||||||||||||||
21029|17|CAbilInventory||||||||||||||||||||||||||||||||
21029|18|CAbilLearn||||||||||||||||||||||||||||||||
21029|19|CAbilMerge||||||||||||||||||||||||||||||||
21029|20|CAbilMergeable||||||||||||||||||||||||||||||||
21029|21|CAbilMorph||||||||||||||||||||||||||||||||
21029|22|CAbilMorphPlacement||||||||||||||||||||||||||||||||
21029|23|CAbilMove||||||||||||||||||||||||||||||||
21029|24|CAbilPawn||||||||||||||||||||||||||||||||
21029|25|CAbilQueue||||||||||||||||||||||||||||||||
21029|26|CAbilRally||||||||||||||||||||||||||||||||
21029|27|CAbilResearch||||||||||||||||||||||||||||||||
21029|28|CAbilRevive||||||||||||||||||||||||||||||||
21029|29|CAbilSpecialize||||||||||||||||||||||||||||||||
21029|30|CAbilStop||||||||||||||||||||||||||||||||
21029|31|CAbilTrain||||||||||||||||||||||||||||||||
21029|32|CAbilTransport||||||||||||||||||||||||||||||||
21029|33|CAbilWarpable||||||||||||||||||||||||||||||||
21029|34|CAbilWarpTrain||||||||||||||||||||||||||||||||
21029|35|Taunt|Taunt|Cancel||||||||||||||||||||||||||||||
21029|36|stop|Stop|HoldFire|Taunt|Taunt||||||||||||||||||||||||||||
21029|37|HoldFire|Stop|HoldFire|Taunt|Taunt||||||||||||||||||||||||||||
21029|38|move|Move|Patrol|HoldPosition|Move|Move|||||||||||||||||||||||||||
21029|39|Beacon||||||||||||||||||||||||||||||||
21029|42|attack|Attack|||||||||||||||||||||||||||||||
21029|43|TerranAddOns|BuildTechLab|BuildReactor|||||||||||||||||||||||||||||CancelBuilding|
21029|44|TerranBuildingLiftOff||||||||||||||||||||||||||||||||
21029|45|TerranBuildingLand||||||||||||||||||||||||||||||||
21029|46|Refund||||||||||||||||||||||||||||||||
