1,CAbilEffect 
2,CAbilQueueable 
3,CAbilProgress 
4,CAbilRedirect 
5,CAbilArmMagazine 
6,CAbilAttack 
7,CAbilAugment 
8,CAbilBattery 
9,CAbilBeacon 
10,CAbilBehavior 
11,CAbilBuild 
12,CAbilBuildable 
13,CAbilEffectInstant 
14,CAbilEffectTarget 
15,CAbilHarvest 
16,CAbilInteract 
17,CAbilInventory 
18,CAbilLearn 
19,CAbilMerge 
20,CAbilMergeable 
21,CAbilMorph 
22,CAbilMorphPlacement 
23,CAbilMove 
24,CAbilPawn 
25,CAbilQueue 
26,CAbilRally 
27,CAbilResearch 
28,CAbilRevive 
29,CAbilSpecialize 
30,CAbilStop 
31,CAbilTrain 
32,CAbilTransport 
33,CAbilWarpable 
34,CAbilWarpTrain 
35,Taunt 
36,stop 
37,HoldFire 
38,move 
39,Beacon 
40,ReviveSelf 
41,ReviveSelfAtTarget 
42,ReviveSelfReplaceTarget 
43,ReviveSelfOnCreep 
45,attack 
47,MetalGateDefaultLower 
48,MetalGateDefaultRaise 
49,TerranAddOns 
50,TerranBuildingLiftOff 
51,TerranBuildingLand 
52,Refund 
53,Salvage 
54,DisguiseChangeling 
55,SalvageShared 
56,Corruption 
57,GhostHoldFire 
58,GhostWeaponsFree 
59,MorphToInfestedTerran 
60,Explode 
61,FleetBeaconResearch 
62,FungalGrowth 
63,GuardianShield 
64,MULERepair 
65,MorphZerglingToBaneling 
66,NexusTrainMothership 
67,Feedback 
68,MassRecall 
69,PlacePointDefenseDrone 
70,HallucinationArchon 
71,HallucinationColossus 
72,HallucinationHighTemplar 
73,HallucinationImmortal 
74,HallucinationPhoenix 
75,HallucinationProbe 
76,HallucinationStalker 
77,HallucinationVoidRay 
78,HallucinationWarpPrism 
79,HallucinationZealot 
80,MULEGather 
81,SeekerMissile 
82,CalldownMULE 
83,GravitonBeam 
84,BuildinProgressNydusCanal 
85,Siphon 
86,Leech 
87,SpawnChangeling 
88,DisguiseAsZealot 
89,DisguiseAsMarineWithShield 
90,DisguiseAsMarineWithoutShield 
91,DisguiseAsZerglingWithWings 
92,DisguiseAsZerglingWithoutWings 
93,PhaseShift 
94,Rally 
95,ProgressRally 
96,RallyCommand 
97,RallyNexus 
98,RallyHatchery 
99,RoachWarrenResearch 
100,SapStructure 
101,InfestedTerrans 
102,NeuralParasite 
103,SpawnLarva 
104,StimpackMarauder 
105,SupplyDrop 
106,250mmStrikeCannons 
107,TemporalRift 
108,TimeWarp 
109,UltraliskCavernResearch 
110,WormholeTransit 
111,SCVHarvest 
112,ProbeHarvest 
113,AttackWarpPrism 
114,que1 
115,que5 
116,que5CancelToSelection 
117,que5LongBlend 
118,que5Addon 
119,BuildInProgress 
120,Repair 
121,TerranBuild 
122,RavenBuild 
123,Stimpack 
124,GhostCloak 
125,Snipe 
126,MedivacHeal 
127,SiegeMode 
128,Unsiege 
129,BansheeCloak 
130,MedivacTransport 
131,ScannerSweep 
132,Yamato 
133,AssaultMode 
134,FighterMode 
135,BunkerTransport 
136,CommandCenterTransport 
137,CommandCenterLiftOff 
138,CommandCenterLand 
139,BarracksAddOns 
140,BarracksLiftOff 
141,FactoryAddOns 
142,FactoryLiftOff 
143,StarportAddOns 
144,StarportLiftOff 
145,FactoryLand 
146,StarportLand 
147,CommandCenterTrain 
148,BarracksLand 
149,SupplyDepotLower 
150,SupplyDepotRaise 
151,BarracksTrain 
152,FactoryTrain 
153,StarportTrain 
154,EngineeringBayResearch 
155,MercCompoundResearch 
156,ArmSiloWithNuke 
157,BarracksTechLabResearch 
158,FactoryTechLabResearch 
159,StarportTechLabResearch 
160,GhostAcademyResearch 
161,ArmoryResearch
162,ProtossBuild 
163,WarpPrismTransport 
164,GatewayTrain 
165,StargateTrain 
166,RoboticsFacilityTrain 
167,NexusTrain 
168,PsiStorm 
169,HangarQueue5 
170,BroodLordQueue2 
171,CarrierHangar 
172,ForgeResearch 
173,RoboticsBayResearch 
174,TemplarArchivesResearch 
175,ZergBuild 
176,DroneHarvest 
177,evolutionchamberresearch 
178,UpgradeToLair 
179,UpgradeToHive 
180,UpgradeToGreaterSpire 
181,LairResearch 
182,SpawningPoolResearch 
183,HydraliskDenResearch 
184,SpireResearch 
185,LarvaTrain 
186,MorphToBroodLord 
187,BurrowBanelingDown 
188,BurrowBanelingUp 
189,BurrowDroneDown 
190,BurrowDroneUp 
191,BurrowHydraliskDown 
192,BurrowHydraliskUp 
193,BurrowRoachDown 
194,BurrowRoachUp 
195,BurrowZerglingDown 
196,BurrowZerglingUp 
197,BurrowInfestorTerranDown 
198,BurrowInfestorTerranUp 
199,RedstoneLavaCritterBurrow 
200,RedstoneLavaCritterInjuredBurrow 
201,RedstoneLavaCritterUnburrow 
202,RedstoneLavaCritterInjuredUnburrow 
203,OverlordTransport 
204,Mergeable 
205,Warpable 
206,WarpGateTrain 
207,BurrowQueenDown 
208,BurrowQueenUp 
209,NydusCanalTransport 
210,Blink 
211,BurrowInfestorDown 
212,BurrowInfestorUp 
213,MorphToOverseer 
214,UpgradeToPlanetaryFortress 
215,InfestationPitResearch 
216,BanelingNestResearch 
217,BurrowUltraliskDown 
218,BurrowUltraliskUp 
219,UpgradeToOrbital 
220,UpgradeToWarpGate 
221,MorphBackToGateway 
222,OrbitalLiftOff 
223,OrbitalCommandLand 
224,ForceField 
225,PhasingMode 
226,TransportMode 
227,FusionCoreResearch 
228,CyberneticsCoreResearch 
229,TwilightCouncilResearch 
230,TacNukeStrike 
231,SalvageBunkerRefund 
232,SalvageBunker 
233,EMP 
234,Vortex 
235,TrainQueen 
236,BurrowCreepTumorDown 
237,Transfusion 
238,TechLabMorph 
239,BarracksTechLabMorph 
240,FactoryTechLabMorph 
241,StarportTechLabMorph 
242,ReactorMorph 
243,BarracksReactorMorph 
244,FactoryReactorMorph 
245,StarportReactorMorph 
246,AttackRedirect 
247,StimpackRedirect 
248,StimpackMarauderRedirect 
249,burrowedStop 
250,StopRedirect 
251,GenerateCreep 
252,QueenBuild 
253,SpineCrawlerUproot 
254,SporeCrawlerUproot 
255,SpineCrawlerRoot 
256,SporeCrawlerRoot 
257,CreepTumorBuild 
258,BuildAutoTurret 
259,ArchonWarp 
260,BuildNydusCanal 
261,BroodLordHangar 
262,Charge 
263,TowerCapture 
264,HerdInteract 
265,Frenzy 
266,Contaminate 
267,Shatter 
268,InfestedTerransLayEgg 
269,que5Passive 
270,que5PassiveCancelToSelection 
294,BridgeExtend 
295,BridgeRetract 
296,DigesterCreepSpray 
297,MorphToMothership 
298,MothershipStasis 
299,MothershipCoreWeapon 
300,NexusTrainMothershipCore 
301,MothershipCoreTeleport 
302,SalvageDroneRefund 
303,SalvageDrone 
304,SalvageZerglingRefund 
305,SalvageZergling 
306,SalvageQueenRefund 
307,SalvageQueen 
308,SalvageRoachRefund 
309,SalvageRoach 
310,SalvageBanelingRefund 
311,SalvageBaneling 
312,SalvageHydraliskRefund 
313,SalvageHydralisk 
314,SalvageInfestorRefund 
315,SalvageInfestor 
316,SalvageSwarmHostRefund 
317,SalvageSwarmHost 
318,SalvageUltraliskRefund 
319,SalvageUltralisk 
320,DigesterTransport 
321,SpectreShield 
322,XelNagaHealingShrine 
323,NexusInvulnerability 
324,NexusPhaseShift 
325,SpawnChangelingTarget 
326,QueenLand 
327,QueenFly 
328,OracleCloakField 
329,FlyerShield 
330,LocustTrain 
331,MothershipCoreMassRecall 
332,SingleRecall 
333,MorphToHellion 
334,RestoreShields 
335,Scryer 
336,BurrowChargeTrial 
337,SnipeDoT 
